iter	RMSE
613	0.5223822007
614	0.5223678003
615	0.5223554864
616	0.5223448665
617	0.5223387654
618	0.5223267333
619	0.5223185711
620	0.5223096022
621	0.522304075
622	0.5222938342
623	0.5222778981
624	0.5222661883
625	0.5222546884
626	0.5222513965
627	0.5222483256
628	0.5222410788
629	0.522235821
630	0.5222199941
631	0.5222102419
632	0.5222080811
633	0.5221942835
634	0.5221826919
635	0.5221715596
636	0.5221618609
637	0.522147521
638	0.5221402694
639	0.5221264036
640	0.5221159291
641	0.5221024246
642	0.5220978247
643	0.5220912509
644	0.5220765148
645	0.5220673518
646	0.5220608388
647	0.522052327
648	0.5220437659
649	0.5220370578
650	0.5220287583
651	0.5220198041
652	0.5220103788
653	0.5220038053
654	0.5219964357
655	0.5219851604
656	0.5219775509
657	0.521963445
658	0.5219488247
659	0.521942779
660	0.521936896
661	0.5219251228
662	0.5219181712
663	0.5219090371
664	0.5219014479
665	0.521891354
666	0.5218792895
667	0.521864401
668	0.5218569952
669	0.5218531428
670	0.521841049
671	0.521830266
672	0.5218238213
673	0.5218141819
674	0.5218073895
675	0.5217987686
676	0.5217934247
677	0.5217822549
678	0.521773615
679	0.5217660186
680	0.5217606857
681	0.5217507769
682	0.5217450054
683	0.5217396493
684	0.5217281812
685	0.5217216977
686	0.5217114213
687	0.5217035009
688	0.5216922267
689	0.5216842807
690	0.5216766701
691	0.5216648246
692	0.5216563806
693	0.5216451091
694	0.5216312478
695	0.5216211103
696	0.5216172344
697	0.5216041154
698	0.521593673
699	0.5215814339
700	0.5215694292
701	0.5215632628
702	0.5215487904
703	0.5215391184
704	0.5215295728
705	0.5215255071
706	0.5215195837
707	0.5215076067
708	0.521491673
709	0.5214769264
710	0.5214699089
711	0.521459774
712	0.5214517253
713	0.5214472371
714	0.5214394929
715	0.5214289898
716	0.5214179223
717	0.5214121107
718	0.5214077573
719	0.5213995357
720	0.5213899996
721	0.5213823203
722	0.5213786423
723	0.5213704818
724	0.5213626166
725	0.5213528765
726	0.5213460524
727	0.521334692
728	0.5213233553
729	0.5213118779
730	0.5213072462
731	0.5213017882
732	0.5212950451
733	0.5212900411
734	0.5212871567
735	0.5212777998
736	0.5212733025
737	0.5212645083
738	0.5212599149
739	0.5212492691
740	0.5212436494
741	0.5212330793
742	0.5212308774
743	0.5212239742
744	0.521213462
745	0.5212059662
746	0.5211997092
747	0.521191501
748	0.521184162
749	0.5211804787
750	0.52117487
751	0.5211639064
752	0.5211572463
753	0.5211509235
754	0.5211454772
755	0.5211410002
756	0.52113709
757	0.5211297971
758	0.5211209504
759	0.5211124656
760	0.521104574
761	0.5210959342
762	0.5210906273
763	0.521085144
764	0.5210738506
765	0.5210720011
766	0.5210643516
767	0.5210559982
768	0.5210505475
769	0.5210428602
770	0.5210341125
771	0.5210290464
772	0.5210244681
773	0.5210107967
774	0.5209993089
775	0.5209867189
776	0.5209805839
777	0.5209714599
778	0.520965337
779	0.5209591334
780	0.5209504367
781	0.5209424048
782	0.5209362028
783	0.5209233561
784	0.5209146227
785	0.5209097891
786	0.5209051047
787	0.5208971242
788	0.5208872482
789	0.5208790657
790	0.5208689719
791	0.5208562942
792	0.5208501109
793	0.5208430255
794	0.5208325914
795	0.5208256421
796	0.520817552
797	0.5208113811
798	0.5208079582
799	0.5207981035
800	0.5207869183
801	0.520776931
802	0.5207692995
803	0.520759769
804	0.5207530899
805	0.5207471192
806	0.5207370992
807	0.5207359717
808	0.520729171
809	0.5207231422
810	0.5207165059
811	0.5207108148
812	0.5207027686
813	0.5206946589
814	0.5206841303
815	0.5206759695
816	0.5206697165
817	0.5206643466
818	0.5206504848
819	0.5206441561
820	0.5206378569
821	0.5206328741
822	0.5206240131
823	0.5206177114
824	0.5206060687
825	0.5205978242
826	0.5205881746
827	0.5205831447
828	0.5205782219
829	0.5205699239
830	0.5205621676
831	0.5205538036
832	0.52054289
833	0.520533658
834	0.5205226315
835	0.5205195151
836	0.5205151576
837	0.5205054678
838	0.5204958062
839	0.5204823745
840	0.5204742136
841	0.5204682291
842	0.5204612298
843	0.5204562477
844	0.5204549034
845	0.5204490818
846	0.5204420665
847	0.520436261
848	0.5204300096
849	0.5204213733
850	0.5204102072
851	0.5204019384
852	0.5203947475
853	0.5203917862
854	0.5203851365
855	0.5203785233
856	0.5203701246
857	0.5203646395
858	0.5203564187
859	0.520348928
860	0.5203435558
861	0.5203353907
862	0.5203279017
863	0.5203221538
864	0.5203106014
865	0.5203040412
866	0.5202983313
867	0.5202903073
868	0.5202791165
869	0.5202715755
870	0.5202639864
871	0.5202546929
872	0.5202381512
873	0.5202262649
874	0.5202188348
875	0.5202056145
876	0.5201992299
877	0.5201894077
878	0.5201827816
879	0.5201761188
880	0.5201682929
881	0.5201594151
882	0.5201515964
883	0.5201477489
884	0.5201369271
885	0.5201310421
886	0.5201211731
887	0.5201147052
888	0.5201101752
889	0.5201024978
890	0.5200884315
891	0.5200770662
892	0.5200723451
